Lx,Ly,H1,H2,tf,tr,bc,hc,tw_ext,wall_tilt_angle,window_ratio_2f,roof_morph,roof_shift,balcony_depth,cost_per_sqm,co2_per_sqm,comfort_score,constructability_score,safety_factor,total_cost,floor_area,design_pattern,evaluation_status,evaluation_time_s,fcstd_path
13.22,9.39,3.62,2.68,285,334,666,518,349,-1.1,0.49,0.39,0.04,2.0,1297464.5866043528,1134.3552246942465,9.808843750000001,7.140000000000001,1.6394948969406493,161061804.42980063,124.13580000000002,中型_重構造_標準天井,success,7.80229115486145,fcstd_outputs/sample33.FCStd
9.82,8.22,4.06,3.35,262,349,497,487,197,-24.0,0.7,0.42,-0.18,3.2,1268788.1970338093,959.3060880897413,9.760625000000001,4.85,1.256416825945324,102417090.77984792,80.72040000000001,小型_重構造_高天井,success,3.780086040496826,fcstd_outputs/sample34.FCStd
8.52,8.4,3.01,2.76,390,173,566,565,291,21.8,0.5,0.08,0.33,1.7,1275716.3242891748,985.8921006420002,8.11625,6.07,2.056428383496936,91300465.89672765,71.568,小型_重構造_標準天井,success,3.491307020187378,fcstd_outputs/sample35.FCStd
13.61,14.07,4.17,2.97,300,151,395,729,178,7.2,0.66,0.31,-0.09,3.3,1328475.137887599,1459.8974075417927,10,6.529999999999999,0.7698082555982544,254393291.0369686,191.49269999999999,中型_標準構造_高天井,success,12.807817935943604,fcstd_outputs/sample36.FCStd
14.26,14.6,2.89,3.69,378,150,725,407,211,24.9,0.58,0.09,0.28,1.4,1277368.096730745,994.0934544842236,8.616499999999998,5.76,0.6038352745254395,265942928.26695418,208.196,中型_重構造_標準天井,success,11.758525133132935,fcstd_outputs/sample37.FCStd
9.87,9.18,4.01,3.59,213,373,324,362,295,-6.4,0.44,0.45,0.03,1.5,1274867.0131425872,1173.5978838708918,9.41196875,7.109999999999999,0.9120398658379576,115511365.51300512,90.60659999999999,小型_重構造_高天井,success,4.701611042022705,fcstd_outputs/sample38.FCStd
10.17,12.18,3.85,3.01,191,320,448,457,222,22.8,0.22,0.15,-0.36,1.2,1235012.354402538,800.9013818641052,7.95765625,5.97,0.8802409527938262,152981721.34725502,123.8706,中型_重構造_標準天井,success,7.232589960098267,fcstd_outputs/sample39.FCStd
13.59,14.8,2.87,2.66,293,379,364,529,298,27.9,0.34,0.5,0.29,2.8,1365971.3291329616,1528.4893263601155,9.017625,4.46,0.7258323635327161,274740545.3711708,201.132,中型_重構造_低天井,success,13.412753105163574,fcstd_outputs/sample40.FCStd
14.57,8.52,3.93,2.86,404,160,847,774,229,12.1,0.22,0.02,0.28,2.3,1205665.9934167964,516.1732972664148,8.774843749999999,6.539999999999999,1.324780138347923,149667036.0251848,124.1364,中型_超重構造_標準天井,success,10.11271595954895,fcstd_outputs/sample41.FCStd
14.85,8.36,3.26,3.48,421,307,693,470,319,-19.1,0.49,0.68,0.13,1.3,1291317.031277216,979.1714666745361,9.44696875,5.84,1.6787396012177238,160311844.16494125,124.14599999999999,中型_重構造_標準天井,success,10.163910150527954,fcstd_outputs/sample42.FCStd
