Lx,Ly,H1,H2,tf,tr,bc,hc,tw_ext,wall_tilt_angle,window_ratio_2f,roof_morph,roof_shift,balcony_depth,material_columns,material_floor1,material_floor2,material_roof,material_walls,material_balcony,cost_per_sqm,co2_per_sqm,comfort_score,constructability_score,safety_factor,total_cost,floor_area,design_pattern,evaluation_status,evaluation_time_s,fcstd_path
11.79,8.35,2.96,2.95,437,453,765,598,314,-29.9,0.3,0.28,-0.25,1.5,1,1,0,0,0,1,691897.491949951,952.2247181940111,5.083407555698148,4.76,2.161322751284255,68114886.44125085,98.44649999999999,小型_超重構造_標準天井_混合構造,success,6.400916814804077,fcstd_outputs/sample55.FCStd
10.16,9.97,3.02,2.81,553,418,712,597,439,7.6,0.33,0.87,-0.09,3.2,1,0,0,1,0,1,1364415.8488804759,1904.9912592550934,6.214105938116914,5.49,0.7700786809474257,138208776.2955176,101.29520000000001,中型_超重構造_標準天井_混合構造,success,7.543678045272827,fcstd_outputs/sample56.FCStd
11.12,8.07,3.24,3.29,377,384,641,796,353,26.0,0.58,0.63,0.36,3.1,1,0,1,1,1,0,635332.6881289494,585.4485973940632,6.269607295621338,4.65,1.2688644368004123,57013738.90039091,89.7384,小型_重構造_標準天井_木造中心,success,7.176070928573608,fcstd_outputs/sample57.FCStd
8.58,10.05,3.1,3.28,398,538,682,659,312,-4.3,0.14,0.97,-0.46,2.6,1,1,1,1,0,1,901378.2302555928,1139.4428791916569,6.179917957511844,5.82,0.9232921777197803,77724943.41670953,86.22900000000001,小型_超重構造_標準天井_木造中心,success,6.492449760437012,fcstd_outputs/sample58.FCStd
9.58,11.86,2.81,2.83,482,584,800,763,488,-21.0,0.45,0.67,0.03,2.8,0,0,1,1,0,0,866568.0976283796,1077.766899960386,5.985313269172731,5.15,1.6257943510316657,98458427.37081933,113.6188,中型_超重構造_標準天井_混合構造,success,6.911361932754517,fcstd_outputs/sample59.FCStd
11.67,8.19,3.12,2.67,552,525,424,607,329,9.5,0.31,0.12,0.16,3.1,0,0,0,1,1,0,542772.4816234866,981.5420194168194,6.617553837643464,6.800000000000001,1.1521259074681487,51876728.30787247,95.5773,小型_超重構造_標準天井_混合構造,success,7.89124608039856,fcstd_outputs/sample60.FCStd
8.08,8.2,2.73,2.99,576,485,452,606,318,24.9,0.6,0.11,-0.12,2.4,0,0,1,0,1,1,492514.1040225655,763.4016687638695,5.656590393174242,5.26,1.7664760626910594,32632014.476119097,66.256,小型_超重構造_標準天井_混合構造,success,5.399158954620361,fcstd_outputs/sample61.FCStd
9.77,10.96,3.34,3.05,567,481,669,688,367,-16.8,0.39,0.15,-0.11,1.3,1,1,1,1,1,1,500535.3350369412,329.16493725483645,6.158930336417975,6.57,1.9697441600989407,53596923.247487634,107.0792,中型_超重構造_標準天井_木造中心,success,5.360320091247559,fcstd_outputs/sample62.FCStd
9.45,8.33,2.75,3.37,439,363,475,786,473,-16.6,0.55,0.41,-0.36,1.9,0,0,0,1,1,0,714631.0721807,1191.7862562592736,6.347689377579017,6.09,2.6517819522175596,56254686.05545643,78.71849999999999,小型_超重構造_標準天井_混合構造,success,4.6038501262664795,fcstd_outputs/sample63.FCStd
9.65,9.1,3.33,3.37,516,584,467,779,450,6.5,0.69,0.74,0.06,2.0,1,0,0,1,0,0,1118755.2878761822,1661.2133170503141,7.095177437915755,5.6,1.1206592068662358,98243495.60484694,87.815,小型_超重構造_標準天井_混合構造,success,6.027446985244751,fcstd_outputs/sample64.FCStd
11.27,10.66,2.88,3.22,510,465,402,679,406,-20.9,0.23,0.69,0.29,1.0,0,1,0,0,0,0,764731.2606712407,1448.5058290593588,6.1364627165745596,5.66,1.2430746563762383,91873437.14077365,120.1382,中型_超重構造_標準天井_RC中心,success,5.97260594367981,fcstd_outputs/sample65.FCStd
11.24,10.43,2.63,3.17,447,577,472,511,317,-26.0,0.41,0.58,0.48,1.5,0,1,1,1,1,1,439086.13970610686,624.1503929227143,5.9037455201127305,5.15,1.9249163787950652,51475473.23339397,117.2332,中型_超重構造_標準天井_木造中心,success,7.1961870193481445,fcstd_outputs/sample66.FCStd
9.98,8.15,3.25,3.09,391,418,515,586,425,-18.4,0.18,0.33,0.33,3.1,0,1,0,1,0,0,612899.6218795093,1075.2649891641727,6.310311376509613,5.41,1.5481531198398348,49851416.54481365,81.337,小型_超重構造_標準天井_混合構造,success,5.652061939239502,fcstd_outputs/sample67.FCStd
9.5,8.68,2.85,2.69,584,520,620,658,406,-18.0,0.52,0.25,0.44,3.2,0,0,0,0,1,0,842665.8290139735,1381.4729003870445,6.10242112754242,5.45,1.3107099603658883,69486224.26049225,82.46,小型_超重構造_低天井_RC中心,success,5.009489059448242,fcstd_outputs/sample68.FCStd
11.52,11.16,2.88,2.95,385,586,400,763,331,-18.9,0.74,0.18,-0.04,2.4,0,0,1,1,0,0,502995.5439319598,795.8375728926269,6.917893256015884,5.86,1.0552475017081102,64666716.71363333,128.5632,中型_超重構造_標準天井_混合構造,success,5.405466079711914,fcstd_outputs/sample69.FCStd
8.01,10.16,3.37,3.24,422,450,495,663,491,-17.1,0.14,0.33,0.48,2.5,1,1,1,0,0,1,670433.871037911,983.3675842845945,6.459668201614617,5.539999999999999,1.363855173257691,54560981.119258866,81.3816,小型_超重構造_標準天井_木造中心,success,4.971349000930786,fcstd_outputs/sample70.FCStd
10.45,10.0,2.66,3.05,436,362,405,442,415,-10.5,0.15,0.19,-0.0,2.5,1,0,1,0,0,1,495073.9448843694,925.2341454000796,6.204394505631372,6.699999999999999,0.46612093359466295,51735227.2404166,104.5,中型_重構造_標準天井_混合構造,success,5.074444055557251,fcstd_outputs/sample71.FCStd
8.81,11.07,2.73,2.85,565,551,697,611,310,-13.0,0.71,0.7,-0.23,2.1,0,0,1,0,1,0,645726.1244423583,1004.7025594910466,6.3716977564891115,4.949999999999999,2.144027596318713,62975538.02065255,97.5267,小型_超重構造_低天井_混合構造,success,5.375933885574341,fcstd_outputs/sample72.FCStd
11.06,8.79,2.63,3.08,372,545,557,533,490,-1.1,0.11,0.47,-0.42,1.7,0,0,0,1,1,1,685886.2381682333,1239.2941047182778,6.162501452484814,7.640000000000001,1.7653123913366013,66680076.770496406,97.2174,小型_超重構造_標準天井_混合構造,success,6.194408893585205,fcstd_outputs/sample73.FCStd
10.83,9.58,2.97,2.85,413,570,759,645,428,24.0,0.16,0.67,-0.43,1.9,0,0,0,1,0,0,1210282.9944460944,1853.4523843207533,5.468203374796921,5.35,2.082821189805082,125568555.06997453,103.7514,中型_超重構造_標準天井_RC中心,success,6.101887941360474,fcstd_outputs/sample74.FCStd
9.15,9.83,3.09,2.96,468,593,646,688,432,25.9,0.41,0.1,0.09,1.8,0,0,1,1,1,0,562120.041860622,625.1887811964696,5.592157026999184,5.66,2.7917105410090928,50559606.10513272,89.9445,小型_超重構造_標準天井_混合構造,success,6.265852212905884,fcstd_outputs/sample75.FCStd
9.99,8.46,3.29,2.71,528,541,781,792,408,-15.4,0.49,0.58,0.07,3.0,0,1,0,1,1,0,741962.6640758929,781.4383603096577,6.4166481246446265,5.710000000000001,1.6244004543526172,62707271.33943973,84.51540000000001,小型_超重構造_標準天井_混合構造,success,4.969779014587402,fcstd_outputs/sample76.FCStd
8.01,10.98,2.97,3.14,427,491,719,422,376,10.0,0.9,0.3,0.34,1.4,0,1,1,1,0,1,556069.4971841453,945.33063164121,6.22587897837823,6.75,1.4875162314980965,48906201.063446134,87.9498,小型_超重構造_標準天井_木造中心,success,5.079152822494507,fcstd_outputs/sample77.FCStd
8.53,9.26,3.07,2.82,382,598,457,693,393,16.8,0.67,0.49,0.36,3.4,0,0,1,0,0,0,713328.3972037259,1375.4707473652586,6.6138321330954595,5.57,1.222385142164828,56344240.77264845,78.9878,小型_超重構造_標準天井_RC中心,success,5.416877031326294,fcstd_outputs/sample78.FCStd
10.07,10.16,3.39,2.65,367,398,653,637,464,24.2,0.31,0.78,-0.42,1.7,0,0,1,1,1,0,655260.4755935369,963.0237456090958,5.840421222230491,4.33,1.8658500471318709,67040485.570545465,102.3112,中型_重構造_標準天井_混合構造,success,6.493407964706421,fcstd_outputs/sample79.FCStd
9.98,11.79,3.46,3.06,550,496,746,684,354,-14.2,0.25,0.58,0.17,3.4,0,0,1,1,1,1,651784.187051616,683.8646302383452,6.704185057489278,5.83,0.9490173691532179,76691664.94207875,117.6642,中型_超重構造_標準天井_木造中心,success,5.967128038406372,fcstd_outputs/sample80.FCStd
10.22,9.26,3.32,3.41,554,474,539,776,500,23.4,0.67,0.95,0.1,3.1,1,1,1,1,0,0,1288309.6297898174,1528.8892122841926,6.501923661888232,3.91,0.9610139264021635,121922016.09634492,94.6372,小型_超重構造_標準天井_木造中心,success,7.53581690788269,fcstd_outputs/sample81.FCStd
