Lx,Ly,H1,H2,tf,tr,bc,hc,tw_ext,wall_tilt_angle,window_ratio_2f,roof_morph,roof_shift,balcony_depth,material_columns,material_floor1,material_floor2,material_roof,material_walls,material_balcony,cost_per_sqm,co2_per_sqm,comfort_score,constructability_score,safety_factor,total_cost,floor_area,design_pattern,evaluation_status,evaluation_time_s,fcstd_path
11.89,10.45,2.77,2.77,414,361,788,589,475,-11.8,0.12,0.35,0.25,3.1,1,0,1,1,1,0,561102.8028395552,524.7402870717493,6.20592522438582,6.07,0.8957849461784477,69717303.80421616,124.2505,中型_重構造_低天井_木造中心,success,4.418797969818115,fcstd_outputs/sample32.FCStd
8.53,11.35,2.78,2.88,458,473,596,869,447,-7.9,0.75,0.0,-0.4,1.6,1,0,1,0,0,1,614492.1998137183,603.2780098812755,6.328379262596059,7.460000000000001,1.6148601165468324,59492369.57106504,96.81549999999999,小型_超重構造_標準天井_混合構造,success,2.37428617477417,fcstd_outputs/sample33.FCStd
8.87,9.29,3.44,3.17,547,520,810,698,350,-10.4,0.12,0.55,0.26,1.7,1,0,0,1,1,0,943510.373079892,1007.4210822137348,6.182427896734799,6.710000000000001,2.827789499835217,77747424.81564116,82.40229999999998,小型_超重構造_標準天井_混合構造,success,3.1964612007141113,fcstd_outputs/sample34.FCStd
11.06,8.68,3.4,3.13,421,416,469,469,451,-11.0,0.47,0.08,0.02,2.1,1,0,1,1,0,0,447555.01274493086,578.0282980864707,6.808778607349,6.65,0.6609127630914169,42965639.26752356,96.0008,小型_超重構造_標準天井_混合構造,success,2.974715232849121,fcstd_outputs/sample35.FCStd
8.19,8.48,2.9,2.63,525,508,696,677,371,11.2,0.8,0.06,-0.43,3.1,1,0,0,1,1,1,627967.7192403232,628.7404712730761,6.106037568562249,6.630000000000001,1.114207215125734,43613111.66250353,69.4512,小型_超重構造_低天井_木造中心,success,2.9716379642486572,fcstd_outputs/sample36.FCStd
9.27,9.97,2.94,2.97,491,408,759,933,494,28.8,0.5,0.76,0.25,2.0,0,0,0,0,0,0,1760657.9041120862,2000.0,5.479140246990016,3.37,3.7549956756245364,162723348.74805683,92.42190000000001,小型_超重構造_標準天井_RC中心,success,4.4206459522247314,fcstd_outputs/sample37.FCStd
11.46,10.28,2.9,2.88,543,519,718,729,477,7.9,0.73,0.57,-0.17,3.3,0,1,1,0,1,1,861902.0156554066,1084.5480575862803,6.897789096559806,6.460000000000001,1.1339432666267966,101539642.18194467,117.8088,中型_超重構造_標準天井_木造中心,success,4.552452087402344,fcstd_outputs/sample38.FCStd
11.93,11.2,3.33,2.93,574,576,666,530,409,-15.7,0.14,0.86,0.1,1.0,0,1,1,0,0,0,1047224.9203920651,2000.0000000000002,6.340717542661376,5.18,1.4990253090608165,139926004.96310616,133.61599999999999,中型_超重構造_標準天井_混合構造,success,5.441270112991333,fcstd_outputs/sample39.FCStd
9.65,8.85,2.61,2.95,563,397,990,668,303,-16.3,0.89,0.58,-0.09,1.6,0,0,0,1,0,1,1121077.985104869,1510.3690269133408,5.704295840114671,6.119999999999999,3.8933821795974413,95742862.62291858,85.4025,小型_超重構造_低天井_混合構造,success,3.4950380325317383,fcstd_outputs/sample40.FCStd
9.54,9.52,3.13,3.2,579,478,889,562,342,12.7,0.13,0.97,-0.31,2.3,0,1,1,1,1,0,966538.1260008302,1286.6235804404873,6.063102910887397,4.98,1.830309142823922,87781765.83389619,90.82079999999999,小型_超重構造_標準天井_木造中心,success,4.794738054275513,fcstd_outputs/sample41.FCStd
